species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,37.5,18.3,186.0,3070.0,FEMALE
Adelie,Biscoe,39.0,18.9,194.0,3350.0,FEMALE
Adelie,Dream,45.0,20.1,185.0,3200.0,MALE
Adelie,Torgersen,33.8,19.5,178.0,4490.0,MALE
Adelie,Biscoe,40.6,20.9,179.0,4120.0,MALE
Adelie,Dream,34.5,17.4,190.0,4270.0,FEMALE
Adelie,Torgersen,37.5,19.4,192.0,4020.0,MALE
Adelie,Torgersen,41.7,18.5,184.0,3190.0,MALE
Adelie,Torgersen,39.0,21.0,194.0,3460.0,MALE
Adelie,Torgersen,35.9,17.3,179.0,3920.0,MALE
Adelie,Dream,36.9,17.3,189.0,3150.0,MALE
Adelie,Dream,40.6,17.6,182.0,4020.0,FEMALE
Adelie,Dream,36.9,15.7,186.0,3590.0,FEMALE
Adelie,Dream,39.4,17.7,190.0,3530.0,MALE
Adelie,Dream,38.9,17.4,184.0,4020.0,MALE
Adelie,Torgersen,37.1,18.5,187.0,3900.0,MALE
Adelie,Dream,44.5,18.7,196.0,3540.0,MALE
Adelie,Biscoe,40.5,20.6,186.0,4220.0,FEMALE
Adelie,Dream,33.4,19.5,195.0,3210.0,MALE
Adelie,Dream,39.3,17.6,183.0,3980.0,FEMALE
Adelie,Torgersen,37.0,17.2,193.0,3970.0,FEMALE
Adelie,Torgersen,41.1,18.9,199.0,3560.0,MALE
Adelie,Torgersen,36.7,16.7,174.0,3850.0,FEMALE
Adelie,Biscoe,38.5,20.5,185.0,3140.0,FEMALE
Adelie,Dream,40.1,19.7,194.0,4120.0,FEMALE
Adelie,Dream,41.1,17.7,189.0,3620.0,FEMALE
Adelie,Torgersen,35.6,16.2,192.0,3460.0,MALE
Adelie,Biscoe,37.9,20.0,186.0,4170.0,MALE
Adelie,Biscoe,37.5,18.2,190.0,3380.0,FEMALE
Adelie,Torgersen,37.1,19.8,189.0,3070.0,MALE
Adelie,Torgersen,43.5,16.4,197.0,3000.0,MALE
Adelie,Torgersen,39.9,17.6,192.0,3970.0,MALE
Adelie,Dream,35.4,18.3,192.0,3120.0,MALE
Adelie,Torgersen,41.2,18.4,187.0,4490.0,MALE
Adelie,Biscoe,44.4,17.8,187.0,2760.0,FEMALE
Adelie,Dream,41.5,19.1,187.0,4460.0,MALE
Adelie,Biscoe,34.8,17.0,192.0,3790.0,MALE
Adelie,Dream,37.5,18.1,187.0,3660.0,MALE
Adelie,Dream,42.2,18.4,192.0,3450.0,MALE
Adelie,Torgersen,36.9,18.9,203.0,3880.0,FEMALE
Adelie,Biscoe,40.0,19.2,196.0,3680.0,FEMALE
Adelie,Torgersen,40.9,16.9,188.0,4200.0,FEMALE
Adelie,Torgersen,36.3,16.4,198.0,3750.0,FEMALE
Adelie,Torgersen,38.6,19.9,187.0,3770.0,MALE
Adelie,Biscoe,30.2,18.7,177.0,3540.0,FEMALE
Adelie,Biscoe,36.1,17.4,183.0,3670.0,MALE
Adelie,Torgersen,38.1,20.2,178.0,3840.0,MALE
Adelie,Torgersen,35.5,18.4,188.0,2930.0,MALE
Adelie,Dream,43.1,19.7,190.0,3090.0,MALE
Adelie,Torgersen,35.0,18.4,201.0,4030.0,MALE
Gentoo,Biscoe,50.1,14.7,214.0,5570.0,FEMALE
Gentoo,Biscoe,48.9,15.2,227.0,4910.0,FEMALE
Gentoo,Biscoe,47.3,15.2,209.0,3830.0,FEMALE
Gentoo,Biscoe,42.4,16.5,208.0,6220.0,MALE
Gentoo,Biscoe,48.8,14.9,219.0,4380.0,FEMALE
Gentoo,Biscoe,48.1,15.3,224.0,4250.0,FEMALE
Gentoo,Biscoe,48.3,15.6,228.0,5590.0,MALE
Gentoo,Biscoe,43.5,15.2,214.0,6290.0,MALE
Gentoo,Biscoe,44.1,14.6,224.0,5770.0,FEMALE
Gentoo,Biscoe,50.8,15.2,217.0,5360.0,MALE
Gentoo,Biscoe,47.4,16.1,216.0,5370.0,FEMALE
Gentoo,Biscoe,49.6,14.0,223.0,5500.0,MALE
Gentoo,Biscoe,47.6,15.1,221.0,5450.0,MALE
Gentoo,Biscoe,47.6,14.3,207.0,5220.0,FEMALE
Gentoo,Biscoe,50.4,16.2,227.0,5130.0,MALE
Gentoo,Biscoe,45.9,13.5,226.0,5040.0,MALE
Gentoo,Biscoe,47.8,14.5,213.0,4700.0,MALE
Gentoo,Biscoe,46.1,15.4,220.0,4930.0,MALE
Gentoo,Biscoe,46.2,16.5,220.0,4230.0,MALE
Gentoo,Biscoe,46.5,14.9,219.0,5030.0,MALE
Gentoo,Biscoe,48.2,14.5,214.0,4580.0,FEMALE
Gentoo,Biscoe,46.0,16.8,213.0,4520.0,FEMALE
Gentoo,Biscoe,51.4,13.6,217.0,5160.0,MALE
Gentoo,Biscoe,44.7,12.8,225.0,5770.0,FEMALE
Gentoo,Biscoe,46.9,15.4,221.0,5530.0,
Gentoo,Biscoe,46.1,14.5,215.0,4290.0,FEMALE
Gentoo,Biscoe,52.0,14.0,222.0,4580.0,MALE
Gentoo,Biscoe,48.1,15.7,199.0,5550.0,FEMALE
Gentoo,Biscoe,50.7,15.2,225.0,4580.0,MALE
Gentoo,Biscoe,42.9,14.4,206.0,4960.0,FEMALE
Gentoo,Biscoe,48.3,13.7,215.0,5350.0,MALE
Gentoo,Biscoe,50.3,15.9,210.0,4590.0,MALE
Gentoo,Biscoe,47.8,15.6,209.0,5130.0,FEMALE
Gentoo,Biscoe,50.8,14.9,225.0,4410.0,FEMALE
Gentoo,Biscoe,45.9,16.8,214.0,4770.0,MALE
Gentoo,Biscoe,51.9,14.0,219.0,5230.0,FEMALE
Gentoo,Biscoe,54.6,13.5,217.0,4280.0,FEMALE
Gentoo,Biscoe,46.4,14.3,220.0,5300.0,FEMALE
Gentoo,Biscoe,46.1,15.0,218.0,5070.0,MALE
Gentoo,Biscoe,52.0,15.2,209.0,5350.0,MALE
Gentoo,Biscoe,52.4,14.8,224.0,5190.0,FEMALE
Gentoo,Biscoe,45.9,15.3,214.0,5760.0,FEMALE
Gentoo,Biscoe,46.2,13.8,207.0,5140.0,FEMALE
Gentoo,Biscoe,46.6,16.4,214.0,4860.0,MALE
Gentoo,Biscoe,43.3,14.9,227.0,5140.0,MALE
Gentoo,Biscoe,44.7,16.1,223.0,5350.0,FEMALE
Gentoo,Biscoe,44.4,15.3,215.0,5100.0,FEMALE
Gentoo,Biscoe,45.1,15.4,215.0,5100.0,FEMALE
Gentoo,Biscoe,47.4,15.6,215.0,4720.0,FEMALE
Gentoo,Biscoe,48.2,15.4,231.0,4740.0,FEMALE
Gentoo,Biscoe,52.3,15.6,220.0,4370.0,FEMALE
Gentoo,Biscoe,44.4,16.3,220.0,5950.0,MALE
Gentoo,Biscoe,50.6,15.2,224.0,4450.0,FEMALE
Gentoo,Biscoe,46.8,15.7,219.0,4730.0,MALE
Gentoo,Biscoe,47.3,14.9,216.0,4720.0,FEMALE
Gentoo,Biscoe,49.6,16.4,216.0,5520.0,FEMALE
Gentoo,Biscoe,44.0,14.3,217.0,4930.0,MALE
Gentoo,Biscoe,48.7,16.8,217.0,5700.0,MALE
Gentoo,Biscoe,48.0,15.0,222.0,4740.0,MALE
Gentoo,Biscoe,49.0,13.6,218.0,5210.0,MALE
Gentoo,Biscoe,48.4,15.1,222.0,4660.0,FEMALE
Gentoo,Biscoe,55.1,14.3,217.0,6150.0,MALE
Gentoo,Biscoe,45.5,15.8,218.0,4480.0,FEMALE
Gentoo,Biscoe,45.9,14.4,204.0,5230.0,MALE
Gentoo,Biscoe,45.6,14.6,223.0,5390.0,FEMALE
Gentoo,Biscoe,45.8,13.1,219.0,5280.0,FEMALE
Gentoo,Biscoe,45.5,14.6,224.0,4980.0,FEMALE
Gentoo,Biscoe,51.2,12.6,198.0,5010.0,FEMALE
Gentoo,Biscoe,51.9,13.4,231.0,5100.0,FEMALE
Gentoo,Biscoe,45.7,15.7,216.0,5000.0,FEMALE
Gentoo,Biscoe,44.9,15.8,224.0,5560.0,MALE
Gentoo,Biscoe,49.0,15.4,210.0,6180.0,FEMALE
Gentoo,Biscoe,45.8,14.1,221.0,4800.0,MALE
Gentoo,Biscoe,49.5,15.0,210.0,4390.0,MALE
Gentoo,Biscoe,48.1,15.0,213.0,5030.0,FEMALE
Gentoo,Biscoe,42.8,13.9,230.0,6360.0,MALE
Gentoo,Biscoe,52.3,16.5,216.0,4670.0,FEMALE
Gentoo,Biscoe,53.1,15.9,219.0,5890.0,MALE
Gentoo,Biscoe,45.6,14.8,223.0,5910.0,FEMALE
Gentoo,Biscoe,46.3,15.0,220.0,4800.0,
Gentoo,Biscoe,48.4,15.2,218.0,5360.0,FEMALE
Gentoo,Biscoe,48.5,13.0,220.0,5890.0,FEMALE
Gentoo,Biscoe,49.5,14.8,233.0,4890.0,
Gentoo,Biscoe,53.7,14.3,217.0,4970.0,FEMALE
Gentoo,Biscoe,47.0,14.0,219.0,4780.0,MALE
Gentoo,Biscoe,45.0,14.7,224.0,4570.0,FEMALE
Gentoo,Biscoe,43.2,16.8,224.0,4750.0,MALE
Gentoo,Biscoe,45.2,15.6,225.0,4460.0,MALE
Gentoo,Biscoe,47.4,14.4,221.0,5090.0,MALE
Gentoo,Biscoe,53.1,15.6,210.0,4690.0,FEMALE
Gentoo,Biscoe,45.9,16.4,228.0,5190.0,MALE
Gentoo,Biscoe,48.2,15.9,210.0,4300.0,MALE
Gentoo,Biscoe,47.4,15.1,219.0,5240.0,MALE
Gentoo,Biscoe,51.2,14.4,212.0,5490.0,FEMALE
Gentoo,Biscoe,55.3,15.7,217.0,4080.0,FEMALE
Gentoo,Biscoe,45.9,15.4,219.0,5260.0,MALE
Gentoo,Biscoe,46.0,15.9,219.0,5690.0,FEMALE
Gentoo,Biscoe,50.7,15.6,220.0,4470.0,FEMALE
Gentoo,Biscoe,49.6,16.0,228.0,5910.0,MALE
Gentoo,Biscoe,53.2,14.5,220.0,5280.0,MALE
Gentoo,Biscoe,49.3,16.3,216.0,4720.0,
Gentoo,Biscoe,46.4,15.2,223.0,5050.0,MALE
Gentoo,Biscoe,49.3,17.0,225.0,5350.0,FEMALE
Gentoo,Biscoe,50.9,14.3,209.0,5110.0,FEMALE
Gentoo,Biscoe,50.0,16.7,221.0,5340.0,
Gentoo,Biscoe,49.1,15.2,222.0,4610.0,FEMALE
Gentoo,Biscoe,50.8,14.4,215.0,5160.0,FEMALE
Gentoo,Biscoe,51.1,14.5,226.0,4370.0,FEMALE
Gentoo,Biscoe,51.8,14.7,216.0,5020.0,MALE
Gentoo,Biscoe,49.5,15.4,218.0,4620.0,
Gentoo,Biscoe,47.0,15.5,216.0,4710.0,FEMALE
Gentoo,Biscoe,48.0,14.4,217.0,5690.0,FEMALE
Gentoo,Biscoe,51.2,15.0,210.0,5620.0,FEMALE
Gentoo,Biscoe,45.0,17.1,208.0,5380.0,MALE
Gentoo,Biscoe,48.6,16.7,228.0,4530.0,FEMALE
Gentoo,Biscoe,46.3,15.4,212.0,4920.0,MALE
Gentoo,Biscoe,47.6,15.0,211.0,5680.0,FEMALE
Gentoo,Biscoe,51.5,15.1,203.0,5150.0,FEMALE
Gentoo,Biscoe,48.1,15.6,213.0,6230.0,MALE
Gentoo,Biscoe,47.6,14.0,209.0,5270.0,MALE
Gentoo,Biscoe,43.3,14.7,228.0,5170.0,FEMALE
Gentoo,Biscoe,49.8,13.4,224.0,4920.0,FEMALE
Gentoo,Biscoe,49.5,15.4,213.0,5140.0,FEMALE
Gentoo,Biscoe,54.2,15.6,232.0,5000.0,MALE
Chinstrap,Dream,48.1,17.2,187.0,3930.0,FEMALE
Chinstrap,Dream,53.7,19.0,199.0,3530.0,FEMALE
Chinstrap,Dream,49.3,19.7,204.0,3280.0,MALE
Chinstrap,Dream,47.7,19.2,191.0,2630.0,FEMALE
Chinstrap,Dream,46.8,19.5,195.0,3720.0,FEMALE
Chinstrap,Dream,47.8,17.6,196.0,4410.0,FEMALE
Chinstrap,Dream,47.5,16.8,190.0,4370.0,FEMALE
Chinstrap,Dream,49.4,20.1,200.0,3560.0,MALE
Chinstrap,Dream,49.3,18.0,195.0,3500.0,FEMALE
Chinstrap,Dream,48.8,18.1,199.0,3910.0,FEMALE
Chinstrap,Dream,50.2,19.9,189.0,3350.0,MALE
Chinstrap,Dream,52.7,19.0,193.0,3850.0,MALE
Chinstrap,Dream,51.9,18.9,201.0,4030.0,FEMALE
Chinstrap,Dream,43.9,20.8,193.0,4200.0,FEMALE
Chinstrap,Dream,40.4,17.7,208.0,3690.0,FEMALE
Chinstrap,Dream,51.9,19.4,193.0,3650.0,FEMALE
Chinstrap,Dream,44.3,18.5,197.0,3400.0,MALE
Chinstrap,Dream,48.1,18.7,202.0,3420.0,MALE
Chinstrap,Dream,44.9,20.1,186.0,3650.0,
Chinstrap,Dream,42.9,19.0,183.0,3870.0,FEMALE
Chinstrap,Dream,50.6,19.0,185.0,4080.0,FEMALE
Chinstrap,Dream,51.3,19.6,205.0,3420.0,FEMALE
Chinstrap,Dream,46.9,18.0,192.0,4310.0,FEMALE
Chinstrap,Dream,40.2,17.5,214.0,3630.0,MALE
Chinstrap,Dream,47.0,17.3,192.0,3720.0,MALE
Chinstrap,Dream,50.1,16.2,197.0,3450.0,FEMALE
Chinstrap,Dream,43.9,20.7,207.0,2800.0,MALE
Chinstrap,Dream,49.4,17.2,210.0,4070.0,FEMALE
Chinstrap,Dream,48.7,18.2,210.0,4020.0,FEMALE
Chinstrap,Dream,50.7,18.1,204.0,3620.0,MALE
Chinstrap,Dream,49.2,18.7,203.0,3760.0,FEMALE
Chinstrap,Dream,45.6,19.3,200.0,3930.0,FEMALE
Chinstrap,Dream,52.7,19.3,201.0,3130.0,MALE
Chinstrap,Dream,48.3,17.8,192.0,3530.0,FEMALE
Chinstrap,Dream,48.7,18.2,190.0,4040.0,FEMALE
Chinstrap,Dream,45.7,18.7,196.0,3250.0,MALE
Chinstrap,Dream,47.3,18.1,195.0,3850.0,FEMALE
Chinstrap,Dream,45.9,20.2,193.0,3210.0,MALE
Chinstrap,Dream,48.2,18.9,201.0,3910.0,FEMALE
Chinstrap,Dream,54.4,19.2,203.0,3720.0,MALE
Chinstrap,Dream,44.3,19.1,196.0,3110.0,MALE
Chinstrap,Dream,43.5,19.7,206.0,4180.0,MALE
Chinstrap,Dream,53.7,18.6,188.0,3450.0,FEMALE
Chinstrap,Dream,48.1,17.0,194.0,3420.0,MALE
Chinstrap,Dream,46.6,18.8,191.0,3810.0,MALE
Chinstrap,Dream,52.2,17.7,183.0,4170.0,MALE
Chinstrap,Dream,46.8,17.8,195.0,3340.0,MALE
Chinstrap,Dream,54.8,19.0,195.0,3760.0,MALE
Chinstrap,Dream,51.0,19.8,207.0,3900.0,FEMALE
Chinstrap,Dream,47.2,18.4,200.0,4000.0,FEMALE
Chinstrap,Dream,55.9,18.7,189.0,3800.0,FEMALE
Chinstrap,Dream,46.8,20.3,209.0,3590.0,FEMALE
Chinstrap,Dream,51.2,18.7,204.0,3420.0,FEMALE
Chinstrap,Dream,49.8,21.3,200.0,3770.0,FEMALE
Chinstrap,Dream,53.1,19.0,194.0,3320.0,FEMALE
Chinstrap,Dream,54.0,16.5,189.0,2610.0,MALE
Chinstrap,Dream,48.9,19.2,193.0,3900.0,FEMALE
Chinstrap,Dream,46.3,18.8,204.0,4080.0,MALE
Chinstrap,Dream,50.3,19.8,209.0,2830.0,MALE
Chinstrap,Dream,46.6,19.1,207.0,3350.0,FEMALE
Chinstrap,Dream,55.4,18.2,192.0,3970.0,MALE
Chinstrap,Dream,49.3,17.1,188.0,4520.0,MALE
Chinstrap,Dream,47.6,18.2,197.0,3740.0,MALE
Chinstrap,Dream,49.4,17.5,183.0,3450.0,MALE
Chinstrap,Dream,44.4,17.8,198.0,3660.0,FEMALE
Chinstrap,Dream,45.6,19.0,195.0,4260.0,FEMALE
Chinstrap,Dream,52.8,20.2,192.0,3480.0,FEMALE
Chinstrap,Dream,46.6,18.8,184.0,3430.0,FEMALE
